,title,link,create_time
0,机器学习之Logistic Regression,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484558&idx=1&sn=ff66c226aa3d23e8345f6daf7f9646be&chksm=c33724d2f440adc4ab705f38c3e38c2b20cca8962d057a91ce40e76ca55bed22a99b34951d32#rd,2024-08-14 00:05:37
1,机器学习之线性回归,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484543&idx=1&sn=abf1c0f68fbc197f2143a290bb140a04&chksm=c3372423f440ad3592a2505fea95aadff01f053019d39866887b8a2a54ab4032094e75971d25#rd,2024-08-10 19:27:19
2,用python制作简易中国象棋程序,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484505&idx=1&sn=32b480ad603e0ae8db5c5304e64de776&chksm=c3372405f440ad1303619712a9c89b0d14309614588ef57e1a3963f1352337296209c079f2ad#rd,2024-08-09 08:02:57
3,早起小语（788-809）,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484496&idx=1&sn=8fa15f9de33b7407c92c7093dae3f48c&chksm=c337240cf440ad1a47b2f9d6cb91eecb1d79c430c6596648dc513900a7279e83148568bf1d26#rd,2024-08-06 13:23:40
4,简易中国象棋程序的制作,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484467&idx=1&sn=5993cfeb01b607635bf2ea0e75344a9c&chksm=c337246ff440ad79afa9d7cc929151ef87e5e0d0995ac86751667b04c1133fec1286cea39eec#rd,2024-08-05 18:46:20
5,记得自己的初衷,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484366&idx=1&sn=c55fbabc554d9d8710caa228bef8d030&chksm=c3372392f440aa8428eac77a48bd53d5a33b5bb1f102456575764d72294bd8f6bc3d7f9a5372#rd,2024-08-04 19:31:27
6,中国象棋棋盘的绘制,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484353&idx=1&sn=ef234cff5a667c9062c75e21d49f8bbc&chksm=c337239df440aa8bfbbf775a83c8608ed0049f4f32882d4d1a2b894432640585d6573135e606#rd,2024-07-28 19:48:53
7,《红楼梦》人物赏析——赵姨娘、贾环,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484344&idx=1&sn=9eb3430815fb7cbbc8b9682b725634af&chksm=c33723e4f440aaf24425c13d2d70eb2807bec20e59aeec244654773947ffafd90eafc98e3164#rd,2024-07-23 01:19:45
8,《红楼梦》人物赏析——探春,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484339&idx=1&sn=ea3057dd3cb210b7fbc48b7c888e7d9e&chksm=c33723eff440aaf9b365fe563fab0e1ffb83792e4e0086cdd0b187c7d48d2eb245ac19fb0e89#rd,2024-07-22 10:38:08
9,《红楼梦》人物赏析——平儿,http://mp.weixin.qq.com/s?__biz=Mzk0MzI3NDI5MQ==&mid=2247484334&idx=1&sn=7344798e39f9e5891fd0ffab9e0c49e2&chksm=c33723f2f440aae475d2476fa7c2873544b02e3748e5f79c71926fdfd305a5b3f8155f36ce4b#rd,2024-07-21 10:26:26
